App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Reflectly - Journal & AI Diary,iOS,1241229134,6940790764,USA,3.20.0,5,2021-02-01,Vcbhdvcwsogceudgcvguedce,I love this app,It’s so nice it’s makes me clam,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744326/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6940706709,USA,3.20.0,5,2021-02-01,Mangle XOX,Reflectly HELPS!,"I have only had this app for a couple of days, but it actually really helps to check in.",,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744358/reply,"[""Satisfied users"", ""Use cases""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6940584661,USA,3.20.0,5,2021-02-01,allyssa faith shelton,Great app!!,"this app has helped so much, i didn’t pay anything and i’m still provided with a majority of the features.",,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744374/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6939652187,USA,3.20.0,5,2021-02-01,Cjaofnwkqohfenkwcj,Cute and motivational!,Love this app! Feels personal and always providing positive messages!,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744393/reply,"[""Design & UX"", ""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6939215873,USA,3.20.0,3,2021-02-01,jay90845,New update,Don’t really like the new update,,,negative,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744418/reply,[],[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6939070713,USA,3.20.0,1,2021-02-01,AHHHHHHHH !!!!,It used to be great 👎,"I have had this app for almost a year now and loved using it. I would write down my feelings and thoughts late a night to calm me down. It was a great outlet and sometimes had questions for me to answer that would really make me think. For a while I didn’t use it because I got busy with college applications. So, when I came back to open the app to get ready to spill all of my thoughts it wouldn’t let me do it because I don’t have subscription 😔. That’s just not only annoying but also stressful because now I have to find another app to use. Farewell Reflectly.",,,neutral,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744447/reply,"[""Design & UX"", ""Dissatisfied users"", ""Pricing""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6939067154,USA,3.20.0,5,2021-02-01,mayapapaya26,Great App,Easy to use app that encourages you to think about your day. Love it :),,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744479/reply,"[""Complexity"", ""Design & UX"", ""Satisfied users"", ""Use cases""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6939031546,USA,3.20.0,5,2021-02-01,chicky98,love,cute app love it,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744525/reply,"[""Design & UX"", ""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6938986792,USA,3.20.0,2,2021-02-01,Minecraft 100,Subscription,"I’ve used this app for about a year. I ended up taking a break from it and when I come back, I have to pay a subscription just to use it!! There’s no point of having a journaling app when you can’t even use it with about paying for a yearly subscription.",,,negative,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744550/reply,"[""Design & UX"", ""Gaming"", ""Payment"", ""Pricing""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6938837903,USA,3.20.0,4,2021-02-01,i reccomend this app alot,I love this app,"I haven’t even had it for a day yet I love this it help with all the stress I’ve been through and the quotes are amazing! I even made a simple one and put it in my pictures! I recommend this app!

I can’t see my status yet but it’s still one of the best apps I ever had!😁😙✌️",,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744572/reply,"[""Camera & Photos"", ""Complexity"", ""Design & UX"", ""Satisfied users"", ""Customer Support""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6938809392,USA,3.20.0,5,2021-02-01,DevinYT,Helpful,It’s pretty pog,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744597/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6938541468,USA,3.20.0,5,2021-02-01,Bowstotoesclothes,Awesome app,"It helps me keep track of my thoughts and feelings it also helps me cope with anxiety !

Thanks creator!",,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744609/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6938249166,USA,3.20.0,5,2021-02-01,bell1823,Reflectly,"This helps me so much in my daily life, I’m 12 and things can be overwhelming but with reflectly it’s been calmer and easyer",,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744627/reply,"[""Frequency""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6938222171,USA,3.20.0,1,2021-02-01,Mysteriousdark689,Not Worth It For Me,It's not worth it if you don't want to pay. You can't really journal without premium.,,,negative,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744648/reply,"[""Dissatisfied users"", ""Pricing""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6939890109,Australia,3.20.0,5,2021-02-01,BabyKimchi,..,helps me relax,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744932/reply,[],[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6939666249,Australia,3.20.0,5,2021-02-01,marssie barrie,Vfdgregrthhi,Egg,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744950/reply,[],[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6939305206,Australia,3.20.0,4,2021-02-01,Zara Kinnane,Great! But one thing,"Now you may be wondering, “what is the one thing this app is great I couldn’t ask for more!” Well... I would love it if I was able to choose if this app only asked me questions or I got to right what I felt that day. Other than that I think it’s awesome!",,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161744965/reply,"[""Feature Requests"", ""Use cases""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6938830862,Canada,3.20.0,5,2021-02-01,rat from ratatouille hi,Amazing,This is really calming,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161745046/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6938369716,Canada,3.20.0,5,2021-02-01,poopydog77,Amazing,Grate helps me get through rough time grate app,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161745065/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,6940459048,United Kingdom,3.20.0,5,2021-02-01,milliemoo708,A brilliant app,This is an app that helps me a lot when I am in any mood,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/2161745288/reply,"[""Satisfied users"", ""Use cases""]",[],[]
