App Name,App Store,App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9492441929,USA,11.06.003,1,2023-01-10,mctaughtme,Paywall is unnecessary and predatory,"Used to be a great app. I’ve been using this app since 2018 and now EVERYTHING is behind a paywall. I’ve literally seen every change and update since 2018 and the paywall was never this aggressive. It’s a shame, I can’t recommend this to anyone anymore, I barely want to use it to be honest because I’m not paying for this app. Not when I know y’all have the capability of giving these resources for free but you just CHOOSE not to. It’s genuinely a choice cos when I started while the app wasn’t as extensive, it was definitely free. It feels like a slap in the face to the people who’ve been loyal to this app despite the hundreds of apps that are coming to replace this one. The only thing that set you apart in this market was the technology and accessibility. You’ve got rid of accessibility to the technology sooo… you’ve lost your selling point. Hope you make serious changes cos this isn’t right.

PEOPLE ARE SAYING THEY PAID FOR PREMIUM AND IT DIDNT WORK. Y’all are actively tarnishing your own reputation. Lol. It’s such a shame that such a good app has gone downhill.",,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3077102949/reply,"[""Design & UX"", ""Gaming"", ""Payment"", ""Pricing""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9489413540,USA,11.06.003,2,2023-01-09,Anonymous5555,Pay To Play,"First the positive, the UI looks nice and seems really intuitive. I also, unfortunately, loved how easy deleting my account was. Few developers care enough about the leaving end users, and I do genuinely appreciate the ease with which this was to find, which is why I bumped it up another star.
Now the negative. In order to do all of my first day tasks (FIRST DAY), I had to get a subscription. Yes, there’s a free trial, but there’s always a risk there (and the deletion of the account, if I recall correctly, will have no effect on Apple’s record of the subscription leading to a possible unintended $70 spent). I understand developers/research/maybe voice actors? need to eat, but that’s an awful lot of money to spend Willy nilly. And nickel and diming me on the first day? Worrisome.",,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3077102950/reply,"[""Complexity"", ""Design & UX"", ""Pricing"", ""Security & Accounts""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9471489839,USA,11.06.003,1,2023-01-04,Des6622,Scam,Don’t try it,,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3077102951/reply,"[""Privacy"", ""Security & Accounts""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9456933757,USA,11.06.001,1,2023-01-01,Ktqueen_____________,Eventually they’ll charge for everything,"I used to recommend this app to everyone I met, including my patients. However, I’ve recently learned that this app started charging people to use it, and now with each update, more and more features are becoming pay only. What a horror it was to find out that I’ve been recommending this app to my patients, who already are low income and can’t afford it! This app is only a shadow of what it used to be- everything used to be free, the app would talk to you like a friend, and now the app barely talks to you. My husband and I are both disappointed. Soon I’m sure they’ll even charge you to use the daily journal feature, if they haven’t already.",,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3077102952/reply,"[""Design & UX"", ""Feature Requests"", ""Frequency"", ""Dissatisfied users"", ""Payment"", ""Performance""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9446689974,USA,11.06.001,1,2022-12-29,Somenamethatisnttaken,Useless without a subscription.,"I downloaded this app because the pinned review gushed about how it’s actually useful without the subscription, unlike other apps. That was a lie. It asks what you’re upset about and then asks you for money, and if you don’t subscribe it ends the conversation immediately and dumps you back to the home page without offering any input or steps to follow whatsoever. What a waste of time. I downloaded this app because I’m stressed about money, smh.",,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3077102953/reply,"[""Design & UX"", ""Import Export"", ""Feature Requests"", ""Dissatisfied users"", ""Pricing""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9445664376,United Kingdom,11.06.001,2,2022-12-29,KateOctober1989,Need Help,"I am struggling so much right now. No one is helping me. I used this app 4 years ago and it really helped me through a horrible time. I would have given it 5 stars back then. After trying to get help for a year I decided to open this app today for the first time in a long time, as a last resort. It has changed, I realise it was a bot but it really helped me so so much. Today I tried for the first time in 3 years and was able to have one question and one response before you must click “i’m done” and leave it at that. I don’t know what to do anymore.",,,neutral,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3077103100/reply,"[""Bugs"", ""Design & UX"", ""Dissatisfied users"", ""Customer Support"", ""Use cases""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9416073961,Netherlands,11.06.001,1,2022-12-20,Cisil,When good apps get greedy…,"I used this app since 2018. When they first started this app it was awesome. I recommended it to many of my friends. Then they started copying other app formats, which was ok. Today almost everything that used to be free is now monetized. If they added lots of new features and made these for members only, that would be one thing, but instead turning almost all of the free content that was available for years into “members only” now is just nothing but greediness. Do I see value enough in this to pay $70 per year? Unfortunately not

I also read some of their recent feedback since all of their recent reviews are negative. They say they use this money for supporting the team for research etc. How were you supporting your teams for the past 5 years??
And they also say that they did this so not to sell our data like other companies do. Quite a claim! Have you heard of advertising?",,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3064497482/reply,"[""Advertising"", ""Feature Requests"", ""Pricing""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9416014244,Hungary,11.06.001,1,2022-12-20,Petrraaa,Greedy,"I’ve been using this app since 2018 and in the last year or so, it’s slowly progressed to a completely paid app. Im so sad because this app helped me so much and the amount that they’re asking for absolutely insane, I would’ve paid for it but I feel they don’t care about the people anymore, just the money. After 5 years of constant use, I will be deleting the app, since the meditation options are now locked unless I pay 70 dollars up front. There’s no option to pay monthly either. I don’t recommend this app at all.",,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3064497869/reply,"[""Dissatisfied users"", ""Pricing""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9381676973,Canada,11.06.001,2,2022-12-10,Jbriss,Frustrating,"I have used this app for years because it really helped me to have a CBT tool on my phone. Now a bunch of things that really worked for me in the past are unavailable behind a paywall. I understand subscription fees for apps but since I’m a longtime user, all my records from before the pay for service update are locked away.",,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3051690694/reply,"[""Dissatisfied users"", ""Pricing""]",[],[]
Youper: Self-Guided Therapy,iOS,Youper: Self-Guided Therapy,iOS,1060691513,9366852302,Philippines,11.06.001,1,2022-12-06,mitzilor1996,TERRIBLE UPDATE!,I CAN’T EVEN USE THE APP NOW. I PAID THE RIGHT AMOUNT! PLEASE DO SOMETHING ABOUT THIS TERRIBLE UPDATE!,,,negative,,English,,https://app.appbot.co/apps/1162557-youper-self-guided-therapy/reviews/3049009520/reply,"[""Dissatisfied users"", ""Payment""]",[],[]
