App Name,App Store,App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,75b6fadd-dec3-48f6-92fc-aff0f840a8ab,English,,2,2023-01-25,karan chhadi,,"The app crashes too often i would've bought thier whole program good i didn't, seems like tream is more focused on marketing rather than working on the app updates and improvement only bought the AI habit tracker it's good.",,,negative,,English,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3088491826/reply,"[""Bugs"", ""Feature Requests"", ""Update""]",[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,972fd662-48a2-4977-bdfd-32205c8af9cc,English,,5,2023-01-25,Soulaimane Elhaj,,Guuudap,"",Guudap,neutral,,English,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3088491827/reply,[],[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,61b58d4a-2647-40be-9154-9bdc9ac1f242,English,,1,2023-01-24,Kostas Panagias,,Not working.... It displays the intro logo and freezes (tested on s21 ultra),,,negative,,English,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3087889753/reply,"[""Bugs"", ""Design & UX"", ""Dissatisfied users"", ""Performance""]",[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,ac895324-e90b-44cf-aa3c-902d6b25d554,English,,5,2023-01-24,Lannon Harms,,Very cool app for self motivation.,,,positive,,English,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3087679706/reply,"[""Satisfied users""]",[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,b0066257-c629-4e55-b79e-d323df753dcb,Spanish,,5,2023-01-24,Karla L. Hernández (klhernandez42),,Muy buena es más fácil solo recordarme de ver la app para ir cumpliendo todo,"","Very good, it's easier just to remember to see the app to fulfill everything",positive,,Spanish,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3087680646/reply,"[""Complexity""]",[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,2098b410-0a6e-4aa7-8340-01d229a328b1,English,,1,2023-01-24,Daily Updates And Snaps,,Charged me crazy amount of koney for nothing.. and no money back!!,,,negative,,English,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3087522269/reply,"[""Payment""]",[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,29e63b92-8041-4e46-ae8e-6fe504b5982d,English,,1,2023-01-24,Stevanus Yuda D Isman,,"I can not register..., Stuck in page ""what mood related....""",,,negative,,English,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3087522270/reply,"[""Performance""]",[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,39ad98b3-424d-46a4-82e8-5e165ae12903,English,,5,2023-01-24,MILIND BORKAR,,Thank you for tracking my habits.,,,positive,,English,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3087522273/reply,"[""Satisfied users""]",[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,f0a02d4d-4341-406a-bab7-95f027f04ef8,Spanish,,5,2023-01-23,wendy lobera,,Excelente para lograr tus objetivos,,,positive,,Spanish,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3087524684/reply,"[""Satisfied users""]",[],[]
Ultiself - Habit Tracker,Google Play,Ultiself - Habit Tracker,Google Play,com.ultiself.android,ca86b661-9f56-43b6-82de-f6aad3180dd2,English,,5,2023-01-23,Dan Dinova,,Easy set up. Looking forward to results,,,positive,,English,,https://app.appbot.co/apps/2914618-ultiself-habit-tracker/reviews/3087522275/reply,"[""Complexity""]",[],[]
